Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors,Amount_USD
Raptee.HV,Clean Tech,Chennai,-,-,Technology Development Board (Ministry of Science & Technology),
Flipspaces,Real Estate Tech,Mumbai,$9 Mn,Series C,—,9000000.0
Indrajaal,Advanced Hardware & Technology,Hyderabad,$5.5 Mn,Pre-Series A,"India Accelerator, Finvolve",5500000.0
Presolv360,Enterprise Services,Mumbai,$4.7 Mn,Series A,"Elevation Capital, MGA Ventures",4700000.0
Indigrid Technology,Enterprise Services,Gurugram,$4 Mn,—,Cactus Partners,4000000.0
Ember,Ecommerce,US,$3.2 Mn,Seed,—,3200000.0
Asaya,Ecommerce,Bengaluru,$3.2 Mn,Pre-Series A,RPSG Capital,3200000.0
Inamo,Enterprise Services,Mumbai,$3 Mn,Seed,Shastra VC,3000000.0
WeHouse,Real Estate Tech,Hyderabad,$2.8 Mn,Series A,—,2800000.0
EndureAir Systems,Advanced Hardware & Technology,Noida,$2.8 Mn,—,Indian Angel Network,2800000.0
Snap-E-Cabs,Travel Tech,Kolkata,$2.5 Mn,—,Inflection Point Ventures,2500000.0
Aurva,Enterprise Tech,New Delhi,$2.2 Mn,Seed,Nexus Venture Partners,2200000.0
BacAlt Biosciences,Health Tech,Bengaluru,$2 Mn,Pre-Seed,Avaana Capital,2000000.0
PeakAmp,Clean Tech,Gurugram,$1.4 Mn,Seed,Caret Capital,1400000.0
FarmDidi,Ecommerce,Mumbai,$793K,Seed,Samved Ventures,793000.0
Prowrrap,Enterprise Services,Delhi,$453K,Pre-Series A,"Calance Software; Amit Govil (chairman, Calance Corporation)",453000.0
Biokraft Foods,Clean Tech,Mumbai,$227K,Seed,GVFL,227000.0
Misfits,Ecommerce,Gurugram,—,Seed,Nu Ventures,
TraqCheck,AI,New Delhi,—,—,"Alok Oberoi (chairman, Everstone Capital); Siddharth Mehta (founder, Bay Capital)",
TraqCheck,AI,New Delhi,—,—,"Alok Oberoi (chairman, Everstone Capital); Siddharth Mehta (founder, Bay Capital)",
CityMall,Ecommerce,Gurugram,$47 Mn,Series D,Accel,47000000.0
Seekho,Media & Entertainment,Bengaluru,$28 Mn,Series B,Bessemer Venture Partners,28000000.0
Blue Tokai Coffee Roasters,Ecommerce,Gurugram,$25 Mn,–,-,25000000.0
FirstClub,Consumer Services,Bengaluru,$23 Mn,Series A,"Accel, RTP Global",23000000.0
Colive,Real Estate Tech,Bengaluru,$20 Mn,Series B,Bain Capital,20000000.0
Offgrid Energy,Clean Tech,Gurugram,$15 Mn,Series A,Archean Chemicals Industries,15000000.0
Reveal Healthtech,AI,US,$7.2 Mn,Series A,Leo Capital,7200000.0
PlatinumRx,Health Tech,Bengaluru,$6 Mn,Series A,Stellaris Venture Partners,6000000.0
LeafyBus,Travel Tech,Delhi,$4.1 Mn,Pre-Series A,Enetra India,4099999.9999999995
Tuco Kids,Ecommerce,Bengaluru,$4 Mn,Series A,RTP Global,4000000.0
FlexifyMe,Health Tech,Pune,$2.3 Mn,Pre-Series A,IvyCap Ventures,2300000.0
AutoDukan,Ecommerce,Pune,$1 Mn,Pre-Series A,-,1000000.0
House of Zelena,Ecommerce,New Delhi,$793K,Seed,"Sprout Venture Partners, M Venture Partners",793000.0
Cuzor,Ecommerce,Bengaluru,$566K,Seed,"Ramesh Kannan (MD, Kaynes Technology)",566000.0
RxMen,Health Tech,New Delhi,$566K,Seed,Inflection Point Ventures,566000.0
QuantE Energy,Clean Tech,Noida,$500K,Seed,Trillion Dollar Venture Partners,500000.0
Dectrocel,Health Tech,Lucknow,$453K,–,BioAngels (IAN Group),453000.0
Zanskar,Ecommerce,Bengaluru,$317K,Seed,Zeropearl VC,317000.0
Waterscience,Ecommerce,Bengaluru,$159K,–,Valar Ventures,159000.0
Edgehax,Advanced Hardware & Technology,Bengaluru,$158K,Seed,Inflection Point Ventures,158000.0
Edgehax,Advanced Hardware & Technology,Bengaluru,$158K,Seed,Inflection Point Ventures,158000.0
TransBnk,Fintech,Mumbai,$25 Mn,Series B,Bessemer Venture Partners,25000000.0
Altum Credo,Fintech,Pune,$19.4 Mn,–,British International Investment,19400000.0
CredRight,Fintech,Bengaluru,$10 Mn,Series B,Abler Nordic,10000000.0
WizCommerce,Enteprise Tech,Bengaluru,$8 Mn,Series A,Peak XV Partners,8000000.0
Vutto,Ecommerce,Bengaluru,$7 Mn,Series A,RTP Global,7000000.0
Palmonas,Ecommerce,Pune,$6.2 Mn,Series A,Vertex Ventures Southeast Asia & India,6200000.0
Enmovil,Logistics,Hyderabad,$6 Mn,Series A,Sorin Investments,6000000.0
Peeko,Consumer Services,Bengaluru,$3.2 Mn,Seed,Stellaris Venture Partners,3200000.0
Matiks,Media & Entertainment,Haveri,$3.1 Mn,Pre-Series A,Tanglin Ventures,3100000.0
Wastelink,Cleantech,New Delhi,$3 Mn,Series A,Avaana Capital,3000000.0
Harajuku Tokyo Cafe,Fooddtech,New Delhi,$2 Mn,Seed,Indian Angel Network,2000000.0
Cumin Co,Ecommerce,Gurugram,$1.5 Mn,–,Fireside Ventures,1500000.0
Anmasa,Ecommerce,Gurugram,$1.1 Mn,Pre-Seed,–,1100000.0
Nugen,Artificial Intelligence,Ahmedabad,$1 Mn,Pre-Seed,Antler,1000000.0
Vaave,Enteprise Tech,Hyderabad,$748K,–,VCMint,748000.0
